# Synthetic demo spectrum: Ag_n+ (n=1..15), Cu_n+ (n=1..4), Ag_nO+, Ag_nO2+, AgCu+, Ag2Cu+, Ag3Cu+, Na+, K+
# Gaussian profile peaks, resolving power 3000, sampling step 0.02 m/z, Gaussian + shot noise
m/z,intensity
20.00,76.4
20.02,72.0
20.04,58.9
20.06,68.9
20.08,63.9
20.10,58.3
20.12,63.4
20.14,75.5
20.16,76.4
20.18,63.9
20.20,64.4
20.22,61.2
20.24,61.9
20.26,77.8
20.28,65.8
20.30,65.2
20.32,63.3
20.34,64.8
20.36,66.0
20.38,67.9
20.40,63.1
20.42,78.6
20.44,73.4
20.46,76.3
20.48,55.4
20.50,74.7
20.52,67.4
20.54,75.0
20.56,57.2
20.58,66.0
20.60,53.5
20.62,53.7
20.64,54.1
20.66,54.4
20.68,46.9
20.70,49.4
20.72,61.7
20.74,63.4
20.76,61.2
20.78,62.4
20.80,69.3
20.82,64.1
20.84,79.2
20.86,71.5
20.88,56.8
20.90,57.8
20.92,74.6
20.94,72.4
20.96,69.0
20.98,66.0
21.00,71.9
21.02,84.0
21.04,56.9
21.06,59.2
21.08,67.7
21.10,66.0
21.12,54.5
21.14,83.8
21.16,62.1
21.18,65.3
21.20,75.3
21.22,54.5
21.24,62.4
21.26,59.2
21.28,64.6
21.30,57.6
21.32,49.2
21.34,54.3
21.36,70.0
21.38,70.0
21.40,80.6
21.42,70.7
21.44,62.6
21.46,70.4
21.48,53.7
21.50,58.8
21.52,49.4
21.54,54.9
21.56,72.0
21.58,49.9
21.60,66.5
21.62,63.3
21.64,68.8
21.66,64.9
21.68,61.3
21.70,67.4
21.72,63.5
21.74,67.8
21.76,59.7
21.78,65.2
21.80,59.0
21.82,54.2
21.84,70.2
21.86,73.5
21.88,69.9
21.90,54.9
21.92,47.6
21.94,54.6
21.96,67.7
21.98,75.3
22.00,75.5
22.02,71.5
22.04,62.7
22.06,70.4
22.08,64.1
22.10,52.5
22.12,72.6
22.14,65.1
22.16,62.3
22.18,62.0
22.20,75.4
22.22,53.7
22.24,58.7
22.26,66.7
22.28,70.7
22.30,66.6
22.32,61.5
22.34,62.3
22.36,71.4
22.38,64.7
22.40,55.2
22.42,65.7
22.44,73.2
22.46,78.0
22.48,59.4
22.50,57.2
22.52,69.8
22.54,46.9
22.56,57.0
22.58,79.0
22.60,63.7
22.62,70.4
22.64,69.5
22.66,69.2
22.68,57.7
22.70,74.4
22.72,66.9
22.74,81.3
22.76,65.3
22.78,70.6
22.80,58.3
22.82,80.6
22.84,68.2
22.86,63.3
22.88,73.9
22.90,66.8
22.92,69.7
22.94,75.4
22.96,66.4
22.98,701.7
23.00,211.7
23.02,63.4
23.04,53.6
23.06,57.7
23.08,64.4
23.10,69.8
23.12,52.4
23.14,79.3
23.16,66.2
23.18,83.6
23.20,54.8
23.22,62.6
23.24,68.1
23.26,61.2
23.28,72.4
23.30,52.0
23.32,62.6
23.34,72.5
23.36,65.6
23.38,57.1
23.40,68.6
23.42,63.9
23.44,67.3
23.46,59.3
23.48,70.4
23.50,55.6
23.52,76.7
23.54,66.7
23.56,60.0
23.58,61.7
23.60,71.6
23.62,57.9
23.64,53.2
23.66,68.9
23.68,73.6
23.70,64.3
23.72,55.6
23.74,83.9
23.76,61.4
23.78,56.4
23.80,67.9
23.82,80.6
23.84,74.0
23.86,61.9
23.88,73.1
23.90,81.4
23.92,69.7
23.94,57.1
23.96,61.4
23.98,73.7
24.00,50.9
24.02,65.2
24.04,53.8
24.06,65.2
24.08,71.0
24.10,75.8
24.12,54.3
24.14,60.1
24.16,57.7
24.18,62.5
24.20,68.0
24.22,68.9
24.24,64.0
24.26,78.4
24.28,70.8
24.30,55.6
24.32,67.4
24.34,52.3
24.36,78.9
24.38,71.1
24.40,62.7
24.42,54.2
24.44,64.1
24.46,72.4
24.48,59.3
24.50,63.5
24.52,55.0
24.54,82.8
24.56,52.7
24.58,49.0
24.60,63.3
24.62,73.6
24.64,57.9
24.66,61.1
24.68,62.3
24.70,67.2
24.72,66.4
24.74,77.1
24.76,84.4
24.78,55.0
24.80,69.8
24.82,50.9
24.84,76.2
24.86,68.4
24.88,62.7
24.90,69.6
24.92,50.3
24.94,48.7
24.96,61.3
24.98,66.6
25.00,63.4
25.02,55.1
25.04,75.3
25.06,53.3
25.08,72.9
25.10,55.2
25.12,78.6
25.14,58.3
25.16,75.9
25.18,52.2
25.20,73.7
25.22,48.1
25.24,71.5
25.26,48.8
25.28,61.1
25.30,48.7
25.32,56.3
25.34,66.2
25.36,74.7
25.38,51.4
25.40,55.0
25.42,59.6
25.44,73.3
25.46,72.1
25.48,61.6
25.50,57.0
25.52,67.7
25.54,52.2
25.56,64.9
25.58,65.4
25.60,67.4
25.62,70.8
25.64,63.3
25.66,68.8
25.68,80.9
25.70,68.6
25.72,67.9
25.74,68.7
25.76,44.8
25.78,56.5
25.80,69.7
25.82,63.2
25.84,60.9
25.86,59.1
25.88,59.3
25.90,76.4
25.92,55.5
25.94,51.6
25.96,60.3
25.98,80.0
26.00,61.4
26.02,70.4
26.04,62.2
